definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
kun brtags pa la sogs pa'i ngo bo nyid gsum ,ཀུན་བརྟགས་པ་ལ་སོགས་པའི་ངོ་བོ་ཉིད་གསུམ་,gdags  'dogs  btags/brtags  thogs ,{MSA}parikalpita-ādi-svabhāva(tri-),"the three natures—imputational and so forth [i.e., other-powered and thoroughly established]",,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i gang zag med pa ,ཀུན་བརྟགས་པའི་གང་ཟག་མེད་པ་,gdags  'dogs  btags/brtags  thogs ,{MSA}parikalpita-pudgala-abhāva,non-existence of the imputed person,,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i ngo bo nyid ,ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད་,gdags  'dogs  btags/brtags  thogs ,{MSA}parikalpita-svabhāva,imputational nature; imaginary nature,,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i chos thams cad ,ཀུན་བརྟགས་པའི་ཆོས་ཐམས་ཅད་,gdags  'dogs  btags/brtags  thogs ,{MSA}sarva-dharmāṇāṃ parikalpitānāṃ,all imputational phenomena; all imaginary phenomena,,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i chos med pa ,ཀུན་བརྟགས་པའི་ཆོས་མེད་པ་,gdags  'dogs  btags/brtags  thogs ,{MSA}parikalpita-dharma-abhāva,non-existence of imputational phenomena; non-existence of imputed phenomena,,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i bdag med ,ཀུན་བརྟགས་པའི་བདག་མེད་,gdags  'dogs  btags/brtags  thogs ,{MSA}parikalpita ātma nāsti,non-existence of the imputed self,,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i mtshan nyid ,ཀུན་བརྟགས་པའི་མཚན་ཉིད་,gdags  'dogs  btags/brtags  thogs ,{MSA}parikalpita-lakṣaṇa,imputational character; imaginary character,,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i mtshan nyid kyi gnas ,ཀུན་བརྟགས་པའི་མཚན་ཉིད་ཀྱི་གནས་,gdags  'dogs  btags/brtags  thogs ,{L} parikalpitalakṣaṇāśraya,foundations of imputational characters,,,,,,,,,,,,,,,,,,,,,
kun brtags pa'i gzugs ,ཀུན་བརྟགས་པའི་གཟུགས་,gdags  'dogs  btags/brtags  thogs ,parikalpita-rūpa,imputational form,,,,,,,,,"Comment: One in the triad of imputational form (kun brtags pa'i gzugs), imputed form (rnam par brtags pa'i gzugs), and form of reality (chos nyid kyi gzugs), the last meaning the reality of form in Ge-luk and noumenal form in Jo-nang. These three correspond to the three natures of a form: imputational nature, other-powered nature, and thoroughly established nature of a form. ",,,,,,,,,,,,
kun da ,ཀུན་ད་,,kunda,kunda [transliteration of Sanskrit word for jasmine]; jasmine,,,,,,,,,"Comment: Jasmine, as an example of whiteness, is used to refer to seminal fluid.",,,,,,,,,,,,
kun du ,ཀུན་དུ་,,,in all ways; [with negative] in any way,,,,,,,,,,,,,,,,,,,,,
kun 'dus ,ཀུན་འདུས་,'du  'du/'dud  'dus  'dus ,,[all-assemble]; compendium; composite,,,,,,,,,,,,,,,,,,,,,
kun 'dri ,ཀུན་འདྲི་,,{C}sampraśna,question,,{C}questioning,,,,,,,,,,,,,,,,,,,
kun bsdums pa ,ཀུན་བསྡུམས་པ་,bsdum  sdum  bsdum/bsdums  sdums ,,putting all together; bring together; make agree; conciliate,,,,,,,,,,,,,,,,,,,,,
kun bsdus pa ,ཀུན་བསྡུས་པ་,bsdu  sdud  bsdus  sdus ,{MSA} saṃgraha,summary; compendium,,,,,,,,,,,,,,,,,,,,,
kun nas ,ཀུན་ནས་,,"{C,MSA}samantāt; {C}sarvatas",[all-from]; completely; thoroughly; complete; in every way,,{C}from every direction; everywhere; at all times; in every direction,,,,,,,,,,,,,,,,,,,
kun nas dkris pa; kun dkris ,ཀུན་ནས་དཀྲིས་པ༏་ཀུན་དཀྲིས་,dkri  dkra ia dkris  dkris ,paryavasthāna,entanglement; thorough entanglement,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs; kun nas nyon mongs pa ,ཀུན་ནས་ཉོན་མོངས༏་ཀུན་ནས་ཉོན་མོངས་པ་,,{MV}saṃkliśyate; {MV}saṃkliṣṭa,thoroughly afflicted; thorough affliction,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs kyi chos ,ཀུན་ནས་ཉོན་མོངས་ཀྱི་ཆོས་,,,thoroughly afflicted phenomena,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs kyi dmigs pa ,ཀུན་ནས་ཉོན་མོངས་ཀྱི་དམིགས་པ་,dmigs  dmigs  dmigs  dmigs ,saṃkleśa-ālambana,object of observation of a thorough affliction,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs can; kun nas nyon mongs pa can ,ཀུན་ནས་ཉོན་མོངས་ཅན༏་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་,,{MSA}saṃkliṣṭa,that which has thoroughly affliction; that which is thoroughly afflicted,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs gnyen po ,ཀུན་ནས་ཉོན་མོངས་གཉེན་པོ་,,{MSA}saṃkleśa-prātipakṣika,antidote to thorough afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa; kun nas nyon mongs ,ཀུན་ནས་ཉོན་མོངས་པ༏་ཀུན་ནས་ཉོན་མོངས་,,"{L,MSA,MV}saṃkleśa; {N}saṃkleśika;  {MSA}sāṃkleśikā-dharmāḥ; {C}saṃkileśa",thoroughly afflicted,,{C}afflicted; made miserable,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa can; kun nas nyon mongs can ,ཀུན་ནས་ཉོན་མོངས་པ་ཅན༏་ཀུན་ནས་ཉོན་མོངས་ཅན་,,"{C,MV}saṃkliṣṭa; {MV}saṃkliṣṭa(tva)",that which has thoroughly affliction; that which is thoroughly afflicted,,{C}afflicted; polluted,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa rjes su bsrung ba ,ཀུན་ནས་ཉོན་མོངས་པ་རྗེས་སུ་བསྲུང་བ་,bsrung  srung  bsrungs  srungs ,{MSA}saṃkleśasyānurakṣaṇā,protect/guard/keep/maintain/preserve/safeguard against thorough afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa bstan pa ,ཀུན་ནས་ཉོན་མོངས་པ་བསྟན་པ་,bstan  ston  bstand  stond ,{MSA}saṃkleśa-nirdeśa,indicating thorough affliction,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par dag pa ma yin pa'i don ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་དག་པ་མ་ཡིན་པའི་དོན་,,(MV)niḥsaṃkleśa-viśuddhy-artha,object/meaning that is neither afflicted nor purified,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par byang ba yongs su tshol ba ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཡོངས་སུ་ཚོལ་བ་,btsal  'tshol/'tshel  btsal  tshold ,{MSA}saṃkleśa-vyavadāna-paryeṣṭi,thorough investigation/examination/research of the afflicted and the purified,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par byang ba mi lta ba ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་མི་ལྟ་བ་,blta  lta  bltas  ltos ,{MSA}saṃkleśa-vyavadānādarśana,not viewing the afflicted and the purified,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par byang ba yang dag par ston pa ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཡང་དག་པར་སྟོན་པ་,bstan  ston  bstand  stond ,{MSA}saṃkleśa-vyavadāna-saṃdeśanatā ,teaching the afflicted and the purified; teaching on afflictions and purifications,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par byang ba ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་,'byang  'byangs  byang  'byongs ,{MSA}saṃkleśa-vyavadāna; {MV}saṃkleśa-viśuddhi; {MV}saṃkliṣṭa-vyavadāna; {MV}saṃkleśo vyavadānam; {MV}saṃkleśika-vaiyavadānika,the afflicted and the pure; afflictions and purifications,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par byang ba'i mtshan nyid ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བའི་མཚན་ཉིད་,'byang  'byangs  byang  'byongs ,{MSA}saṃkleśa-vyavadāna-lakṣaṇa,characters of the afflicted and the purified,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par byang ba dag ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དག་,'byang  'byangs  byang  'byongs ,{MSA}saṃkleśa-vyavadāna-pakṣa,spheres of the afflicted and the purified; the afflicted and the purified,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa dang rnam par byang ba tha dad par nga rgyal med pa ,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཐ་དད་པར་ང་རྒྱལ་མེད་པ་,'byang  'byangs  byang  'byongs ,{MSA}saṃkleśa-vyavadāna-bhede nirmāṇaḥ,without the pride/conceit [thinking] that the afflicted and the purified are different,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa spang bar bya ba ,ཀུན་ནས་ཉོན་མོངས་པ་སྤང་བར་བྱ་བ་,spang  spong  spangs  spongs ,{MSA}saṃkleśa-prahāṇa,afflicted objects to be abandoned,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa spangs pa ,ཀུན་ནས་ཉོན་མོངས་པ་སྤངས་པ་,spang  spong  spangs  spongs ,{MSA}saṃkleśa-varjita,state of having abandoned afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa ma yin pa ,ཀུན་ནས་ཉོན་མོངས་པ་མ་ཡིན་པ་,,{C}asaṃkleśa,non-affliction,,{C}without affliction; non-affliction,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa med pa ,ཀུན་ནས་ཉོན་མོངས་པ་མེད་པ་,,"{MSA}asaṃkliṣṭa; {MSA}niḥsaṃkleśa; {MSA,MV}asaṃkleśa; {MV}saṃkleśa-abhāva",without affliction; non-afflicted,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa med pa'i yan lag ,ཀུན་ནས་ཉོན་མོངས་པ་མེད་པའི་ཡན་ལག་,,{MSA}asaṃkleśāṅga,unafflicted branch; branch of the unafflicted,,,,,,,,,Comment: See yan lag.,,,,,,,,,,,,
kun nas nyon mongs pa med par sgrub pa'i rnam pa ,ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་སྒྲུབ་པའི་རྣམ་པ་,bsgrub  sgrub  bsgrubs  sgrubs ,{MSA}niḥkleśatopasaṃhārākāra,aspect of achieving non-affliction; aspect of achieving the absence of afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa med par mos pa ,ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་མོས་པ་,mos  mos  mos  mos ,{MSA}asaṃkleśādhimokṣa,belief/interest/zeal in/being keen for the absence of afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa med par yongs su longs spyod pa ,ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་ཡོངས་སུ་ལོངས་སྤྱོད་པ་,spyad  spyod  spyad  spyod ,{MSA}asaṃkliṣṭa-paribhoga,unafflicted thorough enjoyment; partaking without affliction,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa yang med ,ཀུན་ནས་ཉོན་མོངས་པ་ཡང་མེད་,,{MSA}na saṃkleśaḥ,without affliction,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa las ldog pas ,ཀུན་ནས་ཉོན་མོངས་པ་ལས་ལྡོག་པས་,ldog  ldog  ldogs  ldogs ,{MSA}saṃkleśān nirvṛttitaḥ,due to turning away from afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa bsal ,ཀུན་ནས་ཉོན་མོངས་པ་བསལ་,bsal  sel  bsald  seld ,{MV}kleśāpaśama (=apagama?),eradicate/remove/clear away/eliminate/avoid/exclude affliction,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa'i rgyu ,ཀུན་ནས་ཉོན་མོངས་པའི་རྒྱུ་,,{MSA}saṃkleśa-hetu,cause of thorough affliction,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa'i chos ,ཀུན་ནས་ཉོན་མོངས་པའི་ཆོས་,,{MSA}kliṣṭo dharmaḥ,thoroughly afflicted phenomenon,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa'i nad kyi gnyen po ,ཀུན་ནས་ཉོན་མོངས་པའི་ནད་ཀྱི་གཉེན་པོ་,,{MSA}kleśa-vyādhi-pratipakṣatva,antidote to the disease of the afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa'i phyogs ,ཀུན་ནས་ཉོན་མོངས་པའི་ཕྱོགས་,,{MV}saṃkleśa-pakṣa,sphere of the afflicted; afflicted quarter; class of thorough afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa'i phyogs 'gag pa ,ཀུན་ནས་ཉོན་མོངས་པའི་ཕྱོགས་འགག་པ་,'gag  'gag  'gags  'gags ,{MSA}saṃkleśa-pakṣa-nirodha,ceasing the sphere of the afflicted; ceasing the afflicted quarter; ceasing the class of thorough afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs pa'i mtshan nyid ,ཀུན་ནས་ཉོན་མོངས་པའི་མཚན་ཉིད་,,"{MSA,MV}saṃkleśa-lakṣaṇa",character of the afflicted,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs par 'gyur pa ,ཀུན་ནས་ཉོན་མོངས་པར་འགྱུར་པ་,'gyur  'gyurd  gyur  gyurd ,{MV}saṃkliśyate,will be afflicted,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs med rnam dag ,ཀུན་ནས་ཉོན་མོངས་མེད་རྣམ་དག་,,{MSA}niḥsaṃkleśa-viśuddhitā,unafflicted purity,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs gzung rtog ,ཀུན་ནས་ཉོན་མོངས་གཟུང་རྟོག་,gzung  'dzin  bzung  zungs ,,conception of thoroughly afflicted objects,,,,,,,,,,,,,,,,,,,,,
kun nas nyon mongs shin tu grol ,ཀུན་ནས་ཉོན་མོངས་ཤིན་ཏུ་གྲོལ་,'grol  'grold  grol  grold ,{MSA}suvimokṣāya saṃklesāt,complete freedom from afflictions; complete release from the afflictions,,,,,,,,,,,,,,,,,,,,,
kun nas ldang ba ,ཀུན་ནས་ལྡང་བ་,ldang  ldang  ldangs  ldangs ,{C}paryutthāna,rise up; get up; flow; suffice,,{C}obsession,,,,,,,,,,,,,,,,,,,
kun nas mnar ,ཀུན་ནས་མནར་,mnar  mnar  mnard  mnard ,{L}āghāta,thoroughly harm/torture/torment,,,,,,,,,,,,,,,,,,,,,
kun nas mnar sems kyi sems ,ཀུན་ནས་མནར་སེམས་ཀྱི་སེམས་,mnar  mnar  mnard  mnard ,{L}āghāta-citta,attitude of harmful intent,,,,,,,,,,,,,,,,,,,,,
kun nas mnar sems byed de ,ཀུན་ནས་མནར་སེམས་བྱེད་དེ་,mnar  mnar  mnard  mnard ,{C}āghātayati,have harmful intent,,{C}cherish malice for; feel anger,,,,,,,,,,,,,,,,,,,
kun nas snang ba ,ཀུན་ནས་སྣང་བ་,snang  snang  snang  snang ,{C}saṃdrśyate,thoroughly illuminate/appear/shine,,{C}appears; is beheld; appears bright; be equal to(?),,,,,,,,,,,,,,,,,,,
kun nas byung ba ma mchis pa ,ཀུན་ནས་བྱུང་བ་མ་མཆིས་པ་,'byung  'byung  byung  byung ,asamutthāna,no arising; non-arising,,,,,,,,,,,,,,,,,,,,,
kun nas mi ldang ba ,ཀུན་ནས་མི་ལྡང་བ་,ldang  ldang  ldangs  ldangs ,{C}asamutthāna,rise up; get up; flow; suffice,,{C}no arising; non-arising,,,,,,,,,,,,,,,,,,,
kun nas mdzes pa ,ཀུན་ནས་མཛེས་པ་,,{C}samanta-prasādika,beautiful in every way,,{C}fair in every way,,,,,,,,,,,,,,,,,,,
kun nas langs pa nyid las byung ba ,ཀུན་ནས་ལངས་པ་ཉིད་ལས་བྱུང་བ་,'byung  'byung  byung  byung ,{C}samutthita,,,{C}arisen from,,,,,,,,,,,,,,,,,,,
kun nas slong ,ཀུན་ནས་སློང་,bslang  slang /slong  bslangs  slongs ,{C}samutthāpayati,motivate; ask; beg; collect; gather; raise; cause to rise; inspire; excite; arouse; urge on,,{C}raises,,,,,,,,,,,,,,,,,,,
kun nas slong ba; kun slong ,ཀུན་ནས་སློང་བ༏་ཀུན་སློང་,bslang  slang /slong  bslangs  slongs ,{C}samutthāna,motivation; ask; beg; collect; gather; raise; cause to rise; inspire; excite; arouse; urge on,,{C}manifestation; arising,,,,,,,,,,,,,,,,,,,
kun nas slong ba dang mi ldan pa ,ཀུན་ནས་སློང་བ་དང་མི་ལྡན་པ་,bslang  slang /slong  bslangs  slongs ,{C}asamutthāna-yoga,,,{C}not joined up with the world of appearance,,,,,,,,,,,,,,,,,,,
kun nas slong ba po ,ཀུན་ནས་སློང་བ་པོ་,bslang  slang /slong  bslangs  slongs ,{C}samutthāpaka,one who asks/begs/collects/gathers/raises/inspires/excites/arouses/causes to rise/urges on,,{C}raiser,,,,,,,,,,,,,,,,,,,
kun nas slong ba med pa gtogs pa ,ཀུན་ནས་སློང་བ་མེད་པ་གཏོགས་པ་,bslang  slang /slong  bslangs  slongs ,{C}asamutthāna-paryāpanna,,,{C}not included in the world of appearance,,,,,,,,,,,,,,,,,,,
kun nas slong ba'i thabs ,ཀུན་ནས་སློང་བའི་ཐབས་,bslang  slang /slong  bslangs  slongs ,{MSA}samutthāna-upāya,means of raising up/motivating/urging on,,,,,,,,,,,,,,,,,,,,,
kun nas slong bar mi bgyid pa ,ཀུན་ནས་སློང་བར་མི་བགྱིད་པ་,bslang  slang /slong  bslangs  slongs ,{C}asamutthāpika,does not ask/beg/collect/gather/raise/inspire/excite/arouse/cause to rise/urge on,,{C}which raises nothing,,,,,,,,,,,,,,,,,,,
kun nas bslang ba ,ཀུན་ནས་བསླང་བ་,bslang  slang /slong  bslangs  slongs ,{C}samutthāpita,motivate; ask; beg; collect; gather; raise; cause to rise; inspire; excite; arouse; urge on,,{C}raised,,,,,,,,,,,,,,,,,,,
kun spyod ,ཀུན་སྤྱོད་,spyad  spyod  spyad  spyod ,{C}samācāra,behavior; habit; life-style,,{C}habits,,,,,,,,,,,,,,,,,,,
kun 'byung ,ཀུན་འབྱུང་,'byung  'byung  byung  byung ,samudaya,source; origination,,,,,,,,,,,,,,,,,,,,,
kun 'byung gi bden pa; kun 'byung bden pa ,ཀུན་འབྱུང་གི་བདེན་པ༏་ཀུན་འབྱུང་བདེན་པ་,'byung  'byung  byung  byung ,{MV}samudaya-satya,true sources/origins; truth of sources/origins [the second of the four noble truths],,,,,,,,,,,,,,,,,,,,,
kun 'byung bden pa; kun 'byung gi bden pa ,ཀུན་འབྱུང་བདེན་པ༏་ཀུན་འབྱུང་གི་བདེན་པ་,'byung  'byung  byung  byung ,samudaya-satya,true sources/origins; truth of sources/origins [the second of the four noble truths],,,,,,,,,,,,,,,,,,,,,
kun 'byung ba; kun 'byung ,ཀུན་འབྱུང་བ༏་ཀུན་འབྱུང་,'byung  'byung  byung  byung ,{C}samudācāra; samudaya,source; origin; origination,,{C}befall; use; credit with; ideas; habits; origin; origination; source,,,,,,,,,,,,,,,,,,,
kun 'byung ba'i don rnam pa gsum ,ཀུན་འབྱུང་བའི་དོན་རྣམ་པ་གསུམ་,'byung  'byung  byung  byung ,{MV}trividhaḥ samudaya-artha,three aspects of the meaning of soure/origin/origination,,,,,,,,,,,,,,,,,,,,,
